time,seconds_elapsed,z,y,x
1670358941496325600,0.20732568359375,9.907805442810059,-0.05027823522686958,0.009576806798577309
1670358941506248700,0.217248779296875,9.905410766601562,-0.047884032130241394,0.002394201699644327
1670358941516172000,0.227172119140625,9.900622367858887,-0.05267243832349777,-0.0071826050989329815
1670358941526095000,0.23709521484375,9.893440246582031,-0.05267243832349777,-0.014365210197865963
1670358941536018400,0.247018310546875,9.900622367858887,-0.038307227194309235,-0.011971008032560349
1670358941545941800,0.256941650390625,9.898228645324707,-0.023942016065120697,0.0071826050989329815
1670358941555864800,0.26686474609375,9.903017044067383,-0.028730420395731926,0.0071826050989329815
1670358941565788200,0.2767880859375,9.895833969116211,-0.033518824726343155,0.0071826050989329815
1670358941575711200,0.286711181640625,9.888651847839355,-0.05027823522686958,-0.0071826050989329815
1670358941585634600,0.296634521484375,9.905410766601562,-0.05267243832349777,-0.014365210197865963
1670358941595558000,0.306557861328125,9.898228645324707,-0.06464344263076782,-0.009576806798577309
1670358941605481000,0.31648095703125,9.905410766601562,-0.05267243832349777,0.021547814831137657
1670358941615404300,0.326404296875,9.914987564086914,-0.038307227194309235,0.028730420395731926
1670358941625327600,0.33632763671875,9.912593841552734,-0.026336219161748886,0.033518824726343155
1670358941635251000,0.3462509765625,9.891045570373535,-0.043095629662275314,0.014365210197865963
1670358941645174300,0.35617431640625,9.910199165344238,-0.0454898327589035,-0.019153613597154617
1670358941655097600,0.36609765625,9.914987564086914,-0.043095629662275314,-0.035913024097681046
1670358941665021000,0.37602099609375,9.907805442810059,-0.035913024097681046,-0.023942016065120697
1670358941674944300,0.3859443359375,9.898228645324707,-0.031124621629714966,0
1670358941684867600,0.39586767578125,9.895833969116211,-0.028730420395731926,0.021547814831137657
1670358941694791000,0.405791015625,9.91738224029541,-0.0454898327589035,0.031124621629714966
1670358941704714200,0.41571435546875,9.91977596282959,-0.05746084079146385,0.033518824726343155
1670358941714637600,0.425637451171875,9.900622367858887,-0.06703764945268631,0.023942016065120697
1670358941724561000,0.435560791015625,9.888651847839355,-0.05985504388809204,0.009576806798577309
1670358941734484200,0.445484130859375,9.876680374145508,-0.043095629662275314,-0.016759412363171577
1670358941744407600,0.455407470703125,9.893440246582031,-0.040701430290937424,-0.021547814831137657
1670358941754331000,0.465330810546875,9.900622367858887,-0.043095629662275314,-0.028730420395731926
1670358941764254200,0.475254150390625,9.888651847839355,-0.038307227194309235,-0.019153613597154617
1670358941774177500,0.485177490234375,9.876680374145508,-0.05027823522686958,0.002394201699644327
1670358941784100900,0.495100830078125,9.88625717163086,-0.07182604819536209,0.002394201699644327
1670358941794024200,0.505024169921875,9.907805442810059,-0.08619125932455063,0.016759412363171577
1670358941803947500,0.514947509765625,9.91738224029541,-0.05746084079146385,0.023942016065120697
1670358941813870800,0.524870849609375,9.912593841552734,-0.033518824726343155,0.019153613597154617
1670358941823794200,0.534794189453125,9.924564361572266,-0.011971008032560349,0.004788403399288654
1670358941833717500,0.544717529296875,9.905410766601562,-0.021547814831137657,-0.016759412363171577
1670358941843640800,0.554640869140625,9.903017044067383,-0.033518824726343155,-0.026336219161748886
1670358941853564200,0.564564208984375,9.903017044067383,-0.05506663769483566,-0.014365210197865963
1670358941863487500,0.574487548828125,9.874286651611328,-0.07182604819536209,-0.0071826050989329815
1670358941873410800,0.584410888671875,9.864709854125977,-0.07661445438861847,0.011971008032560349
1670358941883334100,0.594334228515625,9.88625717163086,-0.08140286058187485,0.021547814831137657
1670358941893257500,0.604257568359375,9.91738224029541,-0.07182604819536209,0.011971008032560349
1670358941903180800,0.614180908203125,9.931747436523438,-0.05506663769483566,0.004788403399288654
1670358941913104100,0.624104248046875,9.91977596282959,-0.026336219161748886,-0.011971008032560349
1670358941923027500,0.63402734375,9.934141159057617,-0.002394201699644327,-0.023942016065120697
1670358941932950800,0.64395068359375,9.938929557800293,-0.004788403399288654,-0.019153613597154617
1670358941942874000,0.6538740234375,9.91738224029541,-0.038307227194309235,-0.002394201699644327
1670358941952794000,0.663794189453125,9.881468772888184,-0.0694318488240242,0.0071826050989329815
1670358941962714000,0.673714111328125,9.864709854125977,-0.10055647045373917,0.011971008032560349
1670358941972634600,0.683634521484375,9.852738380432129,-0.12210428714752197,0.009576806798577309
1670358941982555600,0.6935556640625,9.876680374145508,-0.10055647045373917,0.011971008032560349
1670358941992477200,0.703477294921875,9.907805442810059,-0.0694318488240242,0.016759412363171577
1670358942002399200,0.713399169921875,9.934141159057617,-0.023942016065120697,0.011971008032560349
1670358942012322000,0.723322021484375,9.931747436523438,0.0071826050989329815,-0.0071826050989329815
1670358942022245400,0.733245361328125,9.943717956542969,0.002394201699644327,-0.023942016065120697
1670358942032169500,0.74316943359375,9.929352760314941,-0.016759412363171577,-0.038307227194309235
