time,seconds_elapsed,dBFS
1670358941399000000,0.11,-160
1670358941509000000,0.22,-148
1670358941626000000,0.336999755859375,-126
1670358941743000000,0.454,-106
1670358941860000000,0.571,-118
1670358941979000000,0.69,-119
1670358942103000000,0.814,-128
1670358942215000000,0.926,-94
1670358942330000000,1.040999755859375,-131
1670358942447000000,1.158,-142
1670358942565000000,1.276,-145
1670358942686000000,1.397000244140625,-122
1670358942795000000,1.506,-141
1670358942913000000,1.624,-146
1670358943029000000,1.74,-138
1670358943147000000,1.858,-119
1670358943263000000,1.974,-119
1670358943383000000,2.094,-121
1670358943498000000,2.208999755859375,-138
1670358943615000000,2.326,-117
1670358943731000000,2.442,-138
1670358943848000000,2.559,-138
1670358943965000000,2.676,-125
1670358944082000000,2.792999755859375,-122
1670358944202000000,2.912999755859375,-138
1670358944317000000,3.028,-141
1670358944433000000,3.144,-145
1670358944551000000,3.262,-150
1670358944667000000,3.378,-151
1670358944784000000,3.495,-150
1670358944901000000,3.612,-148
1670358945019000000,3.73,-137
1670358945135000000,3.846,-148
1670358945251000000,3.962,-127
1670358945370000000,4.080999755859375,-140
1670358945486000000,4.197000244140625,-127
1670358945603000000,4.314,-151
1670358945720000000,4.431,-151
1670358945837000000,4.548,-146
1670358945954000000,4.664999755859375,-146
1670358946070000000,4.781000244140625,-150
1670358946187000000,4.898,-125
1670358946304000000,5.015,-149
1670358946422000000,5.133000244140625,-147
1670358946538000000,5.248999755859375,-142
1670358946655000000,5.366,-150
1670358946784000000,5.495,-122
1670358946890000000,5.600999755859375,-150
1670358947005000000,5.716,-140
1670358947111000000,5.822,-151
1670358947223000000,5.934,-130
1670358947340000000,6.051,-142
1670358947457000000,6.168,-122
1670358947574000000,6.285000244140625,-150
1670358947690000000,6.400999755859375,-133
1670358947807000000,6.518,-138
1670358947908000000,6.619,-149
1670358948026000000,6.736999755859375,-133
1670358948142000000,6.853000244140625,-140
1670358948259000000,6.97,-145
1670358948377000000,7.088,-149
1670358948493000000,7.204,-146
1670358948611000000,7.322,-121
1670358948727000000,7.438,-142
1670358948843000000,7.554,-147
1670358948960000000,7.671,-141
1670358949078000000,7.789000244140625,-142
1670358949194000000,7.904999755859375,-144
1670358949311000000,8.022,-147
1670358949434000000,8.144999755859375,-147
1670358949546000000,8.256999755859376,-146
1670358949663000000,8.374,-148
1670358949780000000,8.491,-110
