time,seconds_elapsed,z,y,x
1670358941504448300,0.2154482421875,-124.86699676513672,5.892600059509277,-102.54100036621094
1670358941514448400,0.225448486328125,-125.12319946289062,5.807199954986572,-102.58979797363281
1670358941524448300,0.2354482421875,-125.06219482421875,5.807199954986572,-102.54100036621094
1670358941534448400,0.245448486328125,-125.12319946289062,5.855999946594238,-102.54100036621094
1670358941544448300,0.2554482421875,-125.12319946289062,5.880399703979492,-102.5166015625
1670358941554448400,0.265448486328125,-125.08660125732422,5.819399833679199,-102.54100036621094
1670358941564448300,0.2754482421875,-125.04999542236328,5.831599712371826,-102.56539916992188
1670358941574448400,0.285448486328125,-125.03779602050781,5.831599712371826,-102.56539916992188
1670358941584448300,0.2954482421875,-125.0011978149414,5.868199825286865,-102.5531997680664
1670358941594448400,0.305448486328125,-124.97679901123047,5.868199825286865,-102.5531997680664
1670358941604448300,0.3154482421875,-125.06219482421875,5.880399703979492,-102.61419677734375
1670358941614448400,0.325448486328125,-125.02559661865234,5.880399703979492,-102.61419677734375
1670358941624448300,0.3354482421875,-125.08660125732422,5.868199825286865,-102.7239990234375
1670358941634448400,0.345448486328125,-125.19639587402344,5.880399703979492,-102.7605972290039
1670358941644448300,0.3554482421875,-125.24520111083984,5.916999816894531,-102.77279663085938
1670358941654448400,0.365448486328125,-125.22079467773438,5.929199695587158,-102.84600067138672
1670358941664448300,0.3754482421875,-125.24520111083984,5.929199695587158,-102.91919708251953
1670358941674448400,0.385448486328125,-125.18419647216797,5.990200042724609,-102.95579528808594
1670358941684448300,0.3954482421875,-125.12319946289062,6.002399921417236,-102.8947982788086
1670358941694448400,0.405448486328125,-125.14759826660156,5.990200042724609,-102.9679946899414
1670358941704448300,0.4154482421875,-125.08660125732422,6.002399921417236,-102.8947982788086
1670358941714448400,0.425448486328125,-124.98899841308594,6.063399791717529,-102.8947982788086
1670358941724448300,0.4354482421875,-124.97679901123047,6.002399921417236,-102.88259887695312
1670358941734448400,0.445448486328125,-125.0011978149414,6.063399791717529,-102.87039947509766
1670358941744448300,0.4554482421875,-125.06219482421875,6.039000034332275,-102.83380126953125
1670358941754448400,0.465448486328125,-125.07439422607422,6.002399921417236,-102.78499603271484
1670358941764448300,0.4754482421875,-125.04999542236328,6.002399921417236,-102.82159423828125
1670358941774448400,0.485448486328125,-125.06219482421875,5.990200042724609,-102.80939483642578
1670358941784448300,0.4954482421875,-125.06219482421875,5.95359992980957,-102.83380126953125
1670358941794448400,0.505448486328125,-125.09880065917969,5.941400051116943,-102.78499603271484
1670358941804448300,0.5154482421875,-125.03779602050781,5.977999687194824,-102.77279663085938
1670358941814448400,0.525448486328125,-125.04999542236328,5.929199695587158,-102.74839782714844
1670358941824448300,0.5354482421875,-124.98899841308594,5.965799808502197,-102.69960021972656
1670358941834448400,0.545448486328125,-124.98899841308594,5.929199695587158,-102.6874008178711
1670358941844448300,0.5554482421875,-124.97679901123047,5.929199695587158,-102.67520141601562
1670358941854448400,0.565448486328125,-124.95240020751953,5.941400051116943,-102.58979797363281
1670358941864448300,0.5754482421875,-124.9157943725586,6.014599800109863,-102.5166015625
1670358941874448400,0.585448486328125,-124.83039855957031,6.002399921417236,-102.49219512939453
1670358941884448300,0.5954482421875,-124.86699676513672,6.002399921417236,-102.45559692382812
1670358941894448400,0.605448486328125,-124.81819915771484,6.063399791717529,-102.40679931640625
1670358941904448300,0.6154482421875,-124.7938003540039,6.063399791717529,-102.43119812011719
1670358941914448400,0.625448486328125,-124.76939392089844,6.124399662017822,-102.41899871826172
1670358941924448300,0.6354482421875,-124.75719451904297,6.136600017547607,-102.39459991455078
1670358941934448400,0.645448486328125,-124.73279571533203,6.148799896240234,-102.37020111083984
1670358941944448300,0.6554482421875,-124.72059631347656,6.148799896240234,-102.37020111083984
1670358941954448400,0.665448486328125,-124.69619750976562,6.173199653625488,-102.34579467773438
1670358941964448300,0.6754482421875,-124.64739990234375,6.160999774932861,-102.34579467773438
1670358941974448400,0.685448486328125,-124.64739990234375,6.112199783325195,-102.34579467773438
1670358941984448300,0.6954482421875,-124.65959930419922,6.063399791717529,-102.32139587402344
1670358941994448400,0.705448486328125,-124.64739990234375,6.02679967880249,-102.2603988647461
1670358942004448300,0.7154482421875,-124.61079406738281,6.014599800109863,-102.24819946289062
1670358942014448400,0.725448486328125,-124.54979705810547,6.002399921417236,-102.24819946289062
1670358942024448300,0.7354482421875,-124.52539825439453,5.965799808502197,-102.19939422607422
1670358942034448400,0.745448486328125,-124.53759765625,5.916999816894531,-102.18719482421875
1670358942044448300,0.7554482421875,-124.52539825439453,5.929199695587158,-102.17499542236328
1670358942054448400,0.765448486328125,-124.5009994506836,5.892600059509277,-102.13839721679688
1670358942064448300,0.7754482421875,-124.46440124511719,5.880399703979492,-102.11399841308594
1670358942074448400,0.785448486328125,-124.47660064697266,5.892600059509277,-102.15059661865234
1670358942084448300,0.7954482421875,-124.48880004882812,5.892600059509277,-102.16279602050781
1670358942094448400,0.805448486328125,-124.48880004882812,5.916999816894531,-102.21160125732422
1670358942104448300,0.8154482421875,-124.46440124511719,5.904799938201904,-102.22380065917969
