time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1670358941602000000,0.312999755859375,0,0,3.2388460636138916,19.57699966430664,0.1676262468099594,59.19477081298828,201.79998779296875,9.5056735,51.3213324
1670358946676000000,5.387,0,0,4.207080841064453,33.3380012512207,0.10083693265914917,160.22274780273438,201.59999084472656,9.5056756,51.3213276
1670358948348601900,7.059601806640625,0,0,4.223806858062744,32.099998474121094,0.6217744946479797,237.66928100585938,201.59999084472656,9.5056701,51.3213228
1670358949350683600,8.06168359375,0,0,4.233827590942383,31.229999542236328,0.5915752053260803,238.01622009277344,201.59999084472656,9.5056683,51.32132
1670358950351885800,9.0628857421875,0,0,4.243839740753174,31.16699981689453,0.5887892842292786,237.89120483398438,201.59999084472656,9.5056655,51.3213179
1670358951349383400,10.060383544921875,0,0,4.253814697265625,31.378000259399414,0.538922131061554,237.0454864501953,201.59999084472656,9.505663,51.3213164
1670358951767000000,10.478,0,0,1.552010416984558,28.884000778198242,0.16774992644786835,210.5517120361328,201.59999084472656,9.5056827,51.3213211
1670358956690000000,15.400999755859376,0,0,3.4870686531066895,19.816999435424805,0.5010391473770142,251.79751586914062,201.59999084472656,9.5056432,51.3213141
1670358958193945900,16.90494580078125,0,0,3.502108097076416,18.909000396728516,0.361086905002594,259.976806640625,201.59999084472656,9.5056374,51.3213141
1670358959199532500,17.910532470703124,0,0,3.5121638774871826,18.893999099731445,0.20413310825824738,237.15115356445312,201.59999084472656,9.5056385,51.3213125
1670358960198861800,18.90986181640625,0,0,3.5221571922302246,18.840999603271484,0.11786139756441116,203.82919311523438,201.59999084472656,9.5056405,51.3213116
1670358961200467500,19.911467529296875,0,0,3.5321733951568604,18.722999572753906,0.19194108247756958,199.74728393554688,201.59999084472656,9.5056394,51.3213093
1670358961709000000,20.42,0,0,2.907681703567505,19.948999404907227,0.6173732876777649,231.20428466796875,201.79998779296875,9.5056267,51.3213047
1670358962196777700,20.90777783203125,0,0,2.9125595092773438,20.784000396728516,0.9926598072052002,239.98019409179688,201.79998779296875,9.5056116,51.3213009
1670358963199145700,21.910145751953124,0,0,2.9225831031799316,21.667999267578125,1.2011264562606812,242.3287811279297,201.79998779296875,9.5055914,51.321295
1670358964198357200,22.909357177734375,0,0,2.932575225830078,22.18600082397461,1.2354826927185059,242.70741271972656,201.79998779296875,9.5055747,51.3212897
1670358965199487700,23.91048779296875,0,0,2.942586660385132,24.775999069213867,1.2080594301223755,240.4676971435547,201.79998779296875,9.5055609,51.3212838
1670358966198771000,24.90977099609375,0,0,2.9525794982910156,25.961000442504883,0.9762356281280518,234.53125,201.79998779296875,9.5055571,51.3212793
1670358966721000000,25.432,0,0,2.270385980606079,26.062000274658203,0.622005045413971,91.91130065917969,201.79998779296875,9.5056098,51.3212907
1670358967200616400,25.911616455078125,0,0,2.2751822471618652,24.93400001525879,1.1662923097610474,81.15186309814453,201.79998779296875,9.5056338,51.3212953
1670358968200699600,26.91169970703125,0,0,2.2851829528808594,23.86199951171875,1.2608438730239868,81.16991424560547,201.79998779296875,9.5056538,51.3212972
1670358969198442000,27.90944189453125,0,0,2.2951602935791016,21.12299919128418,0.0006279419758357108,0,201.79998779296875,9.5056396,51.3212922
1670358970191895800,28.902895751953125,0,0,2.3050949573516846,20.524999618530273,0.0005875740898773074,0,201.79998779296875,9.5056367,51.32129
1670358971199110100,29.910110107421875,0,0,2.315167188644409,18.374000549316406,0.0006335682119242847,0,201.79998779296875,9.5056341,51.3212881
