time,seconds_elapsed,z,y,x
1670350768850552600,0.415552490234375,-17.470399856567383,-56.7421989440918,-86.47359466552734
1670350768860552700,0.425552734375,-17.27519989013672,-56.62019729614258,-86.42479705810547
1670350768870552600,0.435552490234375,-17.470399856567383,-56.62019729614258,-86.4491958618164
1670350768880552700,0.445552734375,-17.53139877319336,-56.60799789428711,-86.59559631347656
1670350768890552600,0.455552490234375,-17.54360008239746,-56.53479766845703,-86.63219451904297
1670350768900552700,0.465552734375,-17.5802001953125,-56.52259826660156,-86.5833969116211
1670350768910552600,0.475552490234375,-17.48259925842285,-56.52259826660156,-86.53459930419922
1670350768920552700,0.485552734375,-17.494800567626953,-56.5469970703125,-86.53459930419922
1670350768930552600,0.495552490234375,-17.506999969482422,-56.47380065917969,-86.54679870605469
1670350768940552700,0.505552734375,-17.61680030822754,-56.449398040771484,-86.5833969116211
1670350768950552600,0.515552490234375,-17.54360008239746,-56.42499923706055,-86.64440155029297
1670350768960552700,0.525552734375,-17.54360008239746,-56.36399841308594,-86.59559631347656
1670350768970552600,0.535552490234375,-17.506999969482422,-56.35179901123047,-86.63219451904297
1670350768980552700,0.545552734375,-17.458200454711914,-56.31520080566406,-86.71759796142578
1670350768990552600,0.555552490234375,-17.51919937133789,-56.29079818725586,-86.8030014038086
1670350769000552700,0.565552734375,-17.54360008239746,-56.27859878540039,-86.839599609375
1670350769010552600,0.575552490234375,-17.54360008239746,-56.25419998168945,-86.90059661865234
1670350769020552700,0.585552734375,-17.494800567626953,-56.25419998168945,-86.96160125732422
1670350769030552600,0.595552490234375,-17.59239959716797,-56.193199157714844,-87.0469970703125
1670350769040552700,0.605552734375,-17.604598999023438,-56.168800354003906,-87.12020111083984
1670350769050552600,0.615552490234375,-17.628999710083008,-56.058998107910156,-87.20559692382812
1670350769060552700,0.625552734375,-17.690000534057617,-56.01020050048828,-87.25439453125
1670350769070552600,0.635552490234375,-17.763198852539062,-55.92479705810547,-87.36419677734375
1670350769080552700,0.645552734375,-17.726598739624023,-55.77840042114258,-87.4739990234375
1670350769090552600,0.655552490234375,-17.7997989654541,-55.7052001953125,-87.59600067138672
1670350769100552700,0.665552734375,-17.86079978942871,-55.58319854736328,-87.681396484375
1670350769110552600,0.675552490234375,-17.824199676513672,-55.546600341796875,-87.7179946899414
1670350769120552700,0.685552734375,-17.848600387573242,-55.41239929199219,-87.77899932861328
1670350769130552600,0.695552490234375,-17.93400001525879,-55.424598693847656,-87.81559753417969
1670350769140552700,0.705552734375,-17.88520050048828,-55.26599884033203,-87.82779693603516
