time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1670350768837444000,0.402444091796875,-0.8085395693778992,-0.25757136940956116,0.08722957968711853,0.5218350291252136,-0.14883027970790863,-0.532341480255127,1.9546705484390259
1670350768847597600,0.41259765625,-0.8085706233978271,-0.2574707865715027,0.08731571584939957,0.5218220353126526,-0.14852337539196014,-0.5322729349136353,1.954817771911621
1670350768857597700,0.42259765625,-0.8086518049240112,-0.25732722878456116,0.08723363280296326,0.5217809081077576,-0.1484328955411911,-0.5319443345069885,1.9550321102142334
1670350768867739000,0.43273876953125,-0.8087226152420044,-0.2572001516819,0.08716544508934021,0.5217451453208923,-0.1483454704284668,-0.5316582918167114,1.9552210569381714
1670350768877739000,0.442739013671875,-0.8087329268455505,-0.2571665644645691,0.08718910068273544,0.5217418074607849,-0.14825284481048584,-0.5316293835639954,1.9552662372589111
1670350768887868700,0.45286865234375,-0.8087267875671387,-0.25712820887565613,0.08730421960353851,0.5217509269714355,-0.14800000190734863,-0.5316949486732483,1.9553073644638062
1670350768897868800,0.462868896484375,-0.808735728263855,-0.25705888867378235,0.08741366863250732,0.5217529535293579,-0.14770759642124176,-0.5317031145095825,1.9553931951522827
1670350768907987200,0.4729873046875,-0.808764636516571,-0.25693947076797485,0.08753542602062225,0.5217465758323669,-0.1473153531551361,-0.5316423773765564,1.9555491209030151
1670350768917987300,0.4829873046875,-0.8088425397872925,-0.2567407488822937,0.08759049326181412,0.5217143297195435,-0.14690913259983063,-0.5313760638237,1.9558253288269043
1670350768928095000,0.493094970703125,-0.8088997006416321,-0.2564311921596527,0.08759993314743042,0.5217763185501099,-0.14649267494678497,-0.5308533310890198,1.9559365510940552
1670350768938095000,0.50309521484375,-0.8089672327041626,-0.25614476203918457,0.08751052618026733,0.5218273401260376,-0.14627721905708313,-0.530258297920227,1.9560291767120361
1670350768948192800,0.51319287109375,-0.8090161681175232,-0.255926251411438,0.08734048902988434,0.5218871831893921,-0.14630866050720215,-0.5296840667724609,1.9560164213180542
1670350768958377000,0.523376953125,-0.8090412616729736,-0.25578898191452026,0.08715363591909409,0.5219468474388123,-0.14648616313934326,-0.5292276740074158,1.955928087234497
1670350768968377000,0.533377197265625,-0.8090630769729614,-0.25567543506622314,0.08702674508094788,0.5219898223876953,-0.1465793401002884,-0.5288829803466797,1.9558793306350708
1670350768978454300,0.543454345703125,-0.8091250658035278,-0.25546932220458984,0.08696480840444565,0.5220049619674683,-0.14640489220619202,-0.5284615159034729,1.9560033082962036
1670350768988599600,0.553599609375,-0.8091491460800171,-0.25523415207862854,0.08706939220428467,0.522065281867981,-0.1459258794784546,-0.5281737446784973,1.956078052520752
1670350768998599700,0.563599609375,-0.8089863061904907,-0.2554830014705658,0.08709557354450226,0.5221915245056152,-0.14632578194141388,-0.528600811958313,1.9555320739746094
1670350769008659200,0.5736591796875,-0.8090018630027771,-0.2553427815437317,0.0871025025844574,0.5222347974777222,-0.1461435854434967,-0.5283644199371338,1.9555422067642212
1670350769018770200,0.583770263671875,-0.8091673851013184,-0.2548121213912964,0.087070032954216,0.5222430229187012,-0.14544780552387238,-0.527430534362793,1.9559763669967651
1670350769028923400,0.59392333984375,-0.8094041347503662,-0.2540173828601837,0.08700288087129593,0.5222744345664978,-0.14445409178733826,-0.5260070562362671,1.9565681219100952
1670350769039108000,0.604108154296875,-0.8096027374267578,-0.25332555174827576,0.08678656071424484,0.5223386287689209,-0.14389674365520477,-0.5245806574821472,1.956940770149231
1670350769049108200,0.614108154296875,-0.8097118139266968,-0.25298258662223816,0.08640042692422867,0.5223998427391052,-0.14413602650165558,-0.5235492587089539,1.9569720029830933
1670350769059132200,0.624132080078125,-0.80975741147995,-0.25287410616874695,0.08612222224473953,0.5224276185035706,-0.1444941759109497,-0.5230429768562317,1.956917643547058
1670350769069175600,0.634175537109375,-0.8098598122596741,-0.2527190148830414,0.08590301871299744,0.5223799347877502,-0.14462831616401672,-0.5225390195846558,1.9571189880371094
1670350769079232800,0.644232666015625,-0.81000155210495,-0.25247469544410706,0.08577597141265869,0.5222992300987244,-0.14444923400878906,-0.5219959020614624,1.9575093984603882
1670350769089297700,0.654297607421875,-0.8101718425750732,-0.2520909607410431,0.0857713595032692,0.5222212076187134,-0.14385755360126495,-0.5213569402694702,1.9580450057983398
1670350769099364600,0.664364501953125,-0.8103507161140442,-0.25165653228759766,0.085787832736969,0.5221505165100098,-0.14316244423389435,-0.5206549763679504,1.9586095809936523
1670350769109338600,0.674338623046875,-0.8105705380439758,-0.2512049973011017,0.085716612637043,0.522038459777832,-0.14257049560546875,-0.5198310017585754,1.9592734575271606
1670350769119263700,0.684263671875,-0.8108549118041992,-0.250774085521698,0.08545119315385818,0.5218474864959717,-0.1422978937625885,-0.5188338160514832,1.960074543952942
1670350769129189000,0.694189208984375,-0.811148464679718,-0.25042057037353516,0.08511323481798172,0.5216161608695984,-0.1422363668680191,-0.5178917050361633,1.9608957767486572
1670350769139114200,0.7041142578125,-0.8114545941352844,-0.24999479949474335,0.08489064872264862,0.5213805437088013,-0.14186660945415497,-0.5169598460197449,1.9618192911148071
1670350769149039600,0.71403955078125,-0.8117267489433289,-0.24944935739040375,0.08489580452442169,0.5212172865867615,-0.14097613096237183,-0.5160722732543945,1.9627126455307007
1670350769158965000,0.723965087890625,-0.8119182586669922,-0.24889889359474182,0.08506583422422409,0.5211544036865234,-0.13985717296600342,-0.5153460502624512,1.9633878469467163
