time,seconds_elapsed,z,y,x
1670350768870552600,0.435552490234375,-127.84379577636719,-72.74859619140625,-11.846199989318848
1670350768880552700,0.445552734375,-127.74620056152344,-72.71199798583984,-12.138999938964844
1670350768890552600,0.455552490234375,-127.68519592285156,-72.57779693603516,-12.138999938964844
1670350768900552700,0.465552734375,-127.69739532470703,-72.57779693603516,-12.041399955749512
1670350768910552600,0.475552490234375,-127.52659606933594,-72.6021957397461,-11.94379997253418
1670350768920552700,0.485552734375,-127.52659606933594,-72.62660217285156,-11.94379997253418
1670350768930552600,0.495552490234375,-127.52659606933594,-72.57779693603516,-11.94379997253418
1670350768940552700,0.505552734375,-127.58760070800781,-72.55339813232422,-11.955999374389648
1670350768950552600,0.515552490234375,-127.51439666748047,-72.52899932861328,-12.017000198364258
1670350768960552700,0.525552734375,-127.51439666748047,-72.46800231933594,-11.968199729919434
1670350768970552600,0.535552490234375,-127.47779846191406,-72.45579528808594,-12.004799842834473
1670350768980552700,0.545552734375,-127.42900085449219,-72.431396484375,-12.09019947052002
1670350768990552600,0.555552490234375,-127.47779846191406,-72.3947982788086,-12.175600051879883
1670350769000552700,0.565552734375,-127.502197265625,-72.38259887695312,-12.212200164794922
1670350769010552600,0.575552490234375,-127.51439666748047,-72.35820007324219,-12.273200035095215
1670350769020552700,0.585552734375,-127.4655990600586,-72.37039947509766,-12.334199905395508
1670350769030552600,0.595552490234375,-127.55099487304688,-72.29719543457031,-12.419599533081055
1670350769040552700,0.605552734375,-127.57540130615234,-72.27279663085938,-12.505000114440918
1670350769050552600,0.615552490234375,-127.58760070800781,-72.16300201416016,-12.590399742126465
1670350769060552700,0.625552734375,-127.64859771728516,-72.11419677734375,-12.639200210571289
1670350769070552600,0.635552490234375,-127.72179412841797,-72.02880096435547,-12.74899959564209
1670350769080552700,0.645552734375,-127.68519592285156,-71.88240051269531,-12.846599578857422
1670350769090552600,0.655552490234375,-127.7583999633789,-71.82139587402344,-12.968599319458008
1670350769100552700,0.665552734375,-127.83159637451172,-71.68719482421875,-13.053999900817871
1670350769110552600,0.675552490234375,-127.79499816894531,-71.65059661865234,-13.102799415588379
1670350769120552700,0.685552734375,-127.80719757080078,-71.51639556884766,-13.163799285888672
1670350769130552600,0.695552490234375,-127.90480041503906,-71.52859497070312,-13.200399398803711
1670350769140552700,0.705552734375,-127.85599517822266,-71.3822021484375,-13.212599754333496
