time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1670350769091000000,0.656,0,0,2.4185609817504883,18.625,0,0,201.79998779296875,9.505615,51.3213158
1670350774064000000,5.629,0,0,8.758805274963379,25.47100067138672,0.8248173594474792,273.2616271972656,201.79998779296875,9.5055155,51.3213193
1670350775199801000,6.764801025390625,0,0,8.770163536071777,32.34000015258789,1.007870078086853,272.9602966308594,201.79998779296875,9.5054932,51.32132
1670350776211171600,7.776171630859375,0,0,8.780277252197266,31.78700065612793,0.8586769700050354,282.2395935058594,201.79998779296875,9.5054851,51.3213234
1670350777204772900,8.76977294921875,0,0,8.790212631225586,30.757999420166016,0.7296531200408936,300.9295959472656,201.79998779296875,9.5054814,51.3213296
1670350778204710000,9.7697099609375,0,0,8.800211906433105,30.29599952697754,0.5772852897644043,319.2229309082031,201.79998779296875,9.5054819,51.3213344
1670350779205330200,10.770330078125,0,0,8.810218811035156,29.659000396728516,0.3950970768928528,309.5141296386719,201.79998779296875,9.5054795,51.3213335
1670350780205902300,11.77090234375,0,0,3.0860345363616943,28.3439998626709,0.5790576934814453,59.74333572387695,201.79998779296875,9.5055165,51.3213371
1670350781204764000,12.769763916015625,0,0,3.0960233211517334,27.489999771118164,0.4632965624332428,67.07201385498047,201.79998779296875,9.5055207,51.3213368
1670350782204871200,13.76987109375,0,0,3.1060242652893066,26.36400032043457,0.5431280732154846,92.27643585205078,201.79998779296875,9.5055315,51.3213333
1670350783204017200,14.76901708984375,0,0,3.116015911102295,26.180999755859375,0.47673359513282776,102.82725524902344,201.79998779296875,9.5055357,51.3213307
1670350784205366300,15.7703662109375,0,0,3.1260292530059814,25.128000259399414,0.33077946305274963,135.95925903320312,201.79998779296875,9.5055299,51.3213253
