time,seconds_elapsed_x,ACC_Z,ACC_Y,ACC_X,seconds_elapsed_y,GYRO_Z,GYRO_Y,GYRO_X,seconds_elapsed,text
1670358941526095000,0.23709521484375,-0.0511045455932617,-0.0085794702172279,0.0041204327717423,0.23709521484375,-0.001198387122713,-0.0015978495357558,0.0006657706107944,,
1670358941536018400,0.247018310546875,-0.0395278930664062,0.0050568021833896,0.0058205779641866,0.247018310546875,-0.0001331541279796,-0.0005326165119186,0.0017310036346316,,
1670358941545941800,0.256941650390625,-0.0381126403808593,0.0176000818610191,0.0226689353585243,0.256941650390625,-0.0001331541279796,-0.0005326165119186,0.0006657706107944,,
1670358941555864800,0.26686474609375,-0.0305452346801757,0.0116780903190374,0.0206386614590883,0.26686474609375,-0.001198387122713,-0.0015978495357558,0.0006657706107944,,
1670358941565788200,0.2767880859375,-0.034830093383789,0.0062933005392551,0.0190058667212724,0.2767880859375,-0.001198387122713,-0.0005326165119186,0.0006657706107944,,
1670358941575711200,0.286711181640625,-0.0390148162841796,-0.0097913853824138,0.0042570033110678,0.286711181640625,-0.0001331541279796,-0.0005326165119186,0.0006657706107944,,
1670358941585634600,0.296634521484375,-0.0207633972167968,-0.0114391520619392,-0.0027798181399703,0.296634521484375,-0.001198387122713,-0.0005326165119186,0.0006657706107944,,
1670358941595558000,0.306557861328125,-0.0262031555175781,-0.0219196714460849,0.001839555799961,0.306557861328125,-0.001198387122713,-0.0005326165119186,-0.0003994623839389,,
1670358941605481000,0.31648095703125,-0.017897605895996,-0.0093240849673748,0.0309950821101665,0.31648095703125,-0.0001331541279796,-0.0005326165119186,-0.0003994623839389,,
1670358941615404300,0.326404296875,-0.0078544616699218,0.0048018507659435,0.0359150171279907,0.326404296875,-0.001198387122713,-0.0015978495357558,-0.0003994623839389,,
1670358941625327600,0.33632763671875,-0.009709358215332,0.016029130667448,0.0385171771049499,0.33632763671875,-0.001198387122713,-0.0005326165119186,-0.0014646954368799,,
1670358941635251000,0.3462509765625,-0.0297040939331054,-0.0005689673125743,0.0183396153151989,0.3462509765625,-0.0001331541279796,-0.0005326165119186,-0.0014646954368799,,
1670358941645174300,0.35617431640625,-0.0100383758544921,-0.0025897584855556,-0.0145200183615088,0.35617431640625,-0.001198387122713,-0.0005326165119186,-0.0025299284607172,,
1670358941655097600,0.36609765625,-0.0050067901611328,0.0001486986875534,-0.0298127848654985,0.36609765625,-0.001198387122713,0.0005326165119186,-0.0035951614845544,,
1670358941665021000,0.37602099609375,-0.0116615295410156,0.0072507597506046,-0.0170064494013786,0.37602099609375,-0.001198387122713,0.0005326165119186,-0.0025299284607172,,
1670358941674944300,0.3859443359375,-0.0203580856323242,0.0117749646306037,0.0067124147899448,0.3859443359375,-0.001198387122713,0.0005326165119186,-0.0025299284607172,,
1670358941684867600,0.39586767578125,-0.0218420028686523,0.0139396507292985,0.0270938798785209,0.39586767578125,-0.001198387122713,-0.0005326165119186,-0.0035951614845544,,
1670358941694791000,0.405791015625,-0.0002708435058593,-0.0024842470884323,0.0352185815572738,0.405791015625,-0.0001331541279796,-0.0005326165119186,-0.0025299284607172,,
1670358941704714200,0.41571435546875,0.0020475387573242,-0.0135890245437622,0.0361738316714763,0.41571435546875,-0.001198387122713,-0.0005326165119186,-0.0035951614845544,,
1670358941714637600,0.425637451171875,-0.0165033340454101,-0.0219048559665679,0.025696113705635,0.425637451171875,-0.001198387122713,0.0005326165119186,-0.0046603945083916,,
1670358941724561000,0.435560791015625,-0.027496337890625,-0.0138730555772781,0.0109872054308652,0.435560791015625,-0.0001331541279796,0.0005326165119186,-0.0035951614845544,,
1670358941734484200,0.445484130859375,-0.038156509399414,0.00303565710783,-0.0147964768111705,0.445484130859375,-0.0001331541279796,0.0005326165119186,-0.0025299284607172,,
1670358941744407600,0.455407470703125,-0.0206975936889648,0.005391638725996,-0.0189015232026577,0.455407470703125,-0.001198387122713,0.0005326165119186,-0.0014646954368799,,
1670358941754331000,0.465330810546875,-0.0130882263183593,0.0031398944556713,-0.0252185966819524,0.465330810546875,-0.001198387122713,0.0005326165119186,-0.0025299284607172,,
1670358941764254200,0.475254150390625,-0.0243053436279296,0.0079280845820903,-0.0152098275721073,0.475254150390625,-0.0001331541279796,-0.0005326165119186,-0.0025299284607172,,
1670358941774177500,0.485177490234375,-0.0352144241333007,-0.0037941150367259,0.0062169367447495,0.485177490234375,-0.001198387122713,0.0005326165119186,-0.0014646954368799,,
1670358941784100900,0.495100830078125,-0.0249004364013671,-0.0245946273207664,0.006093556061387,0.495100830078125,-0.001198387122713,0.0005326165119186,-0.0003994623839389,,
1670358941794024200,0.505024169921875,-0.0032482147216796,-0.0378506295382976,0.019952192902565,0.505024169921875,-0.001198387122713,0.0005326165119186,-0.0003994623839389,,
1670358941803947500,0.514947509765625,0.0061626434326171,-0.008824348449707,0.0263575240969657,0.514947509765625,-0.001198387122713,-0.0005326165119186,-0.0003994623839389,,
1670358941813870800,0.524870849609375,0.0013360977172851,0.0148687548935413,0.0209513567388057,0.524870849609375,-0.001198387122713,-0.0005326165119186,-0.0014646954368799,,
1670358941823794200,0.534794189453125,0.0129737854003906,0.0357326492667198,0.0064646899700164,0.534794189453125,-0.0001331541279796,0.0005326165119186,-0.0025299284607172,,
1670358941833717500,0.544717529296875,-0.0060348510742187,0.0256336200982332,-0.0146623281762003,0.544717529296875,-0.0001331541279796,0.0005326165119186,-0.0014646954368799,,
